Regiao - Sigla;Estado - Sigla;Municipio;Revenda;CNPJ da Revenda;Nome da Rua;Numero Rua;Complemento;Bairro;Cep;Produto;Data da Coleta;Valor de Venda;Valor de Compra;Unidade de Medida;Bandeira
NE;MA;SANTA INES;POSTO MAGNOLIA LTDA; 35.123.447/0001-32;AVENIDA MARECHAL CASTELO BRANCO;3707;;CENTRO;65300-001;ETANOL;07/01/2009;1,7;1,4499;R$ / litro;BRANCA
NE;MA;SANTA INES;POSTO MAGNOLIA LTDA; 35.123.447/0001-32;AVENIDA MARECHAL CASTELO BRANCO;3707;;CENTRO;65300-001;DIESEL;07/01/2009;2,07;1,9213;R$ / litro;BRANCA
NE;MA;SANTA INES;POSTO DE COMBUSTIVEL VALE DO PINDARE LTDA; 63.578.827/0001-05;AVENIDA MARECHAL CASTELO BRANCO;2915;;CENTRO;65300-001;GASOLINA;06/01/2009;2,76;;R$ / litro;BRANCA
NE;MA;SANTA INES;POSTO DE COMBUSTIVEL VALE DO PINDARE LTDA; 63.578.827/0001-05;AVENIDA MARECHAL CASTELO BRANCO;2915;;CENTRO;65300-001;ETANOL;06/01/2009;1,85;;R$ / litro;BRANCA
NE;MA;SANTA INES;POSTO DE COMBUSTIVEL VALE DO PINDARE LTDA; 63.578.827/0001-05;AVENIDA MARECHAL CASTELO BRANCO;2915;;CENTRO;65300-001;DIESEL;06/01/2009;2,07;;R$ / litro;BRANCA
NE;MA;SANTA INES;J. DIAS E FILHOS LTDA; 35.208.198/0001-88;PRACA DA MATRIZ;S/N;;CENTRO;65300-000;GASOLINA;06/01/2009;2,75;2,2144;R$ / litro;BRANCA
NE;MA;SANTA INES;J. DIAS E FILHOS LTDA; 35.208.198/0001-88;PRACA DA MATRIZ;S/N;;CENTRO;65300-000;ETANOL;06/01/2009;1,85;1,5531;R$ / litro;BRANCA
NE;MA;SANTA INES;J. DIAS E FILHOS LTDA; 35.208.198/0001-88;PRACA DA MATRIZ;S/N;;CENTRO;65300-000;DIESEL;06/01/2009;2,07;1,9197;R$ / litro;BRANCA
NE;MA;SANTA INES;ALZERINA V. MACHADO COMÉRCIO; 03.110.366/0001-01;AVENIDA CASTELO BRANCO;2987;;CENTRO;65300-000;GASOLINA;06/01/2009;2,745;;R$ / litro;BRANCA
NE;MA;SANTA INES;ALZERINA V. MACHADO COMÉRCIO; 03.110.366/0001-01;AVENIDA CASTELO BRANCO;2987;;CENTRO;65300-000;ETANOL;06/01/2009;1,95;;R$ / litro;BRANCA
NE;MA;SANTA INES;ALZERINA V. MACHADO COMÉRCIO; 03.110.366/0001-01;AVENIDA CASTELO BRANCO;2987;;CENTRO;65300-000;DIESEL;06/01/2009;2,16;;R$ / litro;BRANCA
NE;MA;SAO DOMINGOS DO MARANHAO;F. INÁ CAVALCANTE SILVA; 02.156.493/0001-89;RODOVIA PEDRO II;10;BR 135;CENTRO;65790-000;GASOLINA;07/01/2009;2,82;;R$ / litro;SATELITE
NE;MA;SAO DOMINGOS DO MARANHAO;F. INÁ CAVALCANTE SILVA; 02.156.493/0001-89;RODOVIA PEDRO II;10;BR 135;CENTRO;65790-000;ETANOL;07/01/2009;1,97;;R$ / litro;SATELITE
NE;MA;SAO DOMINGOS DO MARANHAO;F. INÁ CAVALCANTE SILVA; 02.156.493/0001-89;RODOVIA PEDRO II;10;BR 135;CENTRO;65790-000;DIESEL;07/01/2009;2,17;;R$ / litro;SATELITE
NE;MA;SAO DOMINGOS DO MARANHAO;E C E SILVA COMBUSTÍVEL; 07.245.396/0001-86;RODOVIA BR 135;4;KM 382;ZONA RURAL;65790-000;GASOLINA;07/01/2009;2,8;2,1978;R$ / litro;BRANCA
NE;MA;SAO DOMINGOS DO MARANHAO;E C E SILVA COMBUSTÍVEL; 07.245.396/0001-86;RODOVIA BR 135;4;KM 382;ZONA RURAL;65790-000;ETANOL;07/01/2009;1,97;;R$ / litro;BRANCA
NE;MA;SAO DOMINGOS DO MARANHAO;E C E SILVA COMBUSTÍVEL; 07.245.396/0001-86;RODOVIA BR 135;4;KM 382;ZONA RURAL;65790-000;DIESEL;07/01/2009;2,12;1,9187;R$ / litro;BRANCA
NE;MA;SAO DOMINGOS DO MARANHAO;AZEITAO DERIVADOS DE PETROLEO LTDA - EPP; 02.401.322/0003-30;RODOVIA BR 135;S/N;KM 377;ALTO DA CRUZ;65790-000;GASOLINA;06/01/2009;2,75;2,1862;R$ / litro;BRANCA
NE;MA;SAO DOMINGOS DO MARANHAO;AZEITAO DERIVADOS DE PETROLEO LTDA - EPP; 02.401.322/0003-30;RODOVIA BR 135;S/N;KM 377;ALTO DA CRUZ;65790-000;DIESEL;06/01/2009;2,12;1,9219;R$ / litro;BRANCA
NE;MA;SAO DOMINGOS DO MARANHAO;HILDA SOUZA FERNANDES; 05.689.989/0001-06;RUA TIBURCIO FEIO;S/N;;CENTRO;65790-000;GASOLINA;07/01/2009;2,8;2,2003;R$ / litro;BRANCA
NE;MA;SAO DOMINGOS DO MARANHAO;HILDA SOUZA FERNANDES; 05.689.989/0001-06;RUA TIBURCIO FEIO;S/N;;CENTRO;65790-000;ETANOL;07/01/2009;2;1,4;R$ / litro;BRANCA
NE;MA;SAO DOMINGOS DO MARANHAO;HILDA SOUZA FERNANDES; 05.689.989/0001-06;RUA TIBURCIO FEIO;S/N;;CENTRO;65790-000;DIESEL;07/01/2009;2,2;1,9238;R$ / litro;BRANCA
NE;MA;SAO JOAO DOS PATOS;POSTO TROPICAL LTDA; 02.988.321/0001-71;RODOVIA BR 230 KM 95;S/N;;ZONA RURAL;65655-000;GASOLINA;06/01/2009;2,75;2,1643;R$ / litro;BRANCA
NE;MA;SAO JOAO DOS PATOS;POSTO TROPICAL LTDA; 02.988.321/0001-71;RODOVIA BR 230 KM 95;S/N;;ZONA RURAL;65655-000;DIESEL;06/01/2009;2,09;1,8847;R$ / litro;BRANCA
NE;MA;SAO JOAO DOS PATOS;RIBEIRO E SILVEIRA LTDA.; 07.149.453/0001-23;AVENIDA PRESIDENTE MEDICI;2993;;CENTRO;65665-000;GASOLINA;05/01/2009;2,99;2,24;R$ / litro;RAIZEN
NE;MA;SAO JOAO DOS PATOS;RIBEIRO E SILVEIRA LTDA.; 07.149.453/0001-23;AVENIDA PRESIDENTE MEDICI;2993;;CENTRO;65665-000;ETANOL;05/01/2009;2,45;;R$ / litro;RAIZEN
NE;MA;SAO JOAO DOS PATOS;RIBEIRO E SILVEIRA LTDA.; 07.149.453/0001-23;AVENIDA PRESIDENTE MEDICI;2993;;CENTRO;65665-000;DIESEL;05/01/2009;2,19;1,91;R$ / litro;RAIZEN
NE;MA;SAO JOAO DOS PATOS;RIBEIRO E FERNANDES LTDA; 03.549.504/0001-53;AVENIDA PRESIDENTE MEDICE;1740;SEDE;CENTRO;65665-000;GASOLINA;05/01/2009;2,9;;R$ / litro;BRANCA
NE;MA;SAO JOAO DOS PATOS;RIBEIRO E FERNANDES LTDA; 03.549.504/0001-53;AVENIDA PRESIDENTE MEDICE;1740;SEDE;CENTRO;65665-000;DIESEL;05/01/2009;2,15;;R$ / litro;BRANCA
NE;MA;SAO LUIS;POSTO TOPÁZIO LTDA; 04.039.565/0001-33;AVENIDA JOÃO PESSOA;404;;FILIPINHO;65040-001;GASOLINA;07/01/2009;2,59;2,2031;R$ / litro;RAIZEN
NE;MA;SAO LUIS;POSTO TOPÁZIO LTDA; 04.039.565/0001-33;AVENIDA JOÃO PESSOA;404;;FILIPINHO;65040-001;ETANOL;07/01/2009;1,68;1,4261;R$ / litro;RAIZEN
NE;MA;SAO LUIS;POSTO TOPÁZIO LTDA; 04.039.565/0001-33;AVENIDA JOÃO PESSOA;404;;FILIPINHO;65040-001;DIESEL;07/01/2009;1,99;1,9095;R$ / litro;RAIZEN
NE;MA;SAO LUIS;POSTO EXECUTIVO DE DERIVADOS  DE PETRÓLEO LTDA; 41.622.903/0001-91;AVENIDA DANIEL DE LA TOUCHE;13;0;PARQUE SHALON;65061-050;GASOLINA;07/01/2009;2,658;2,2527;R$ / litro;IPIRANGA
NE;MA;SAO LUIS;POSTO EXECUTIVO DE DERIVADOS  DE PETRÓLEO LTDA; 41.622.903/0001-91;AVENIDA DANIEL DE LA TOUCHE;13;0;PARQUE SHALON;65061-050;ETANOL;07/01/2009;1,679;1,3741;R$ / litro;IPIRANGA
NE;MA;SAO LUIS;POSTO EXECUTIVO DE DERIVADOS  DE PETRÓLEO LTDA; 41.622.903/0001-91;AVENIDA DANIEL DE LA TOUCHE;13;0;PARQUE SHALON;65061-050;DIESEL;07/01/2009;2,139;1,9452;R$ / litro;IPIRANGA
NE;MA;SAO LUIS;I L PLAZA COMERCIO DE DERIVADOS DE PETROLEO LTDA; 00.804.759/0001-27;AVENIDA JERONIMO DE ALBUQUERQUE;110;;CALHAU;65074-220;GASOLINA;06/01/2009;2,699;;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
NE;MA;SAO LUIS;I L PLAZA COMERCIO DE DERIVADOS DE PETROLEO LTDA; 00.804.759/0001-27;AVENIDA JERONIMO DE ALBUQUERQUE;110;;CALHAU;65074-220;ETANOL;06/01/2009;1,799;;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
NE;MA;SAO LUIS;I L PLAZA COMERCIO DE DERIVADOS DE PETROLEO LTDA; 00.804.759/0001-27;AVENIDA JERONIMO DE ALBUQUERQUE;110;;CALHAU;65074-220;DIESEL;06/01/2009;2,199;;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
NE;MA;SAO LUIS;A. MENEZES DE FARIAS; 11.091.105/0001-10;RUA DOS SATELITES QUADRA 37 LOTE 34;34;;AREINHA;65032-170;GASOLINA;07/01/2009;2,6;2,17;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
NE;MA;SAO LUIS;A. MENEZES DE FARIAS; 11.091.105/0001-10;RUA DOS SATELITES QUADRA 37 LOTE 34;34;;AREINHA;65032-170;ETANOL;07/01/2009;1,8;1,4255;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
NE;MA;SAO LUIS;A. MENEZES DE FARIAS; 11.091.105/0001-10;RUA DOS SATELITES QUADRA 37 LOTE 34;34;;AREINHA;65032-170;DIESEL;07/01/2009;2,08;1,9075;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
NE;MA;SAO LUIS;MERCADINHO CARONE LTDA.; 35.120.369/0010-03;ESTRADA DE RIBAMAR;27;PLANALTO/PINGAO           KM 01;AURORA;65060-540;GASOLINA;07/01/2009;2,6;2,2021;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
NE;MA;SAO LUIS;MERCADINHO CARONE LTDA.; 35.120.369/0010-03;ESTRADA DE RIBAMAR;27;PLANALTO/PINGAO           KM 01;AURORA;65060-540;ETANOL;07/01/2009;1,62;1,4077;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
NE;MA;SAO LUIS;MERCADINHO CARONE LTDA.; 35.120.369/0010-03;ESTRADA DE RIBAMAR;27;PLANALTO/PINGAO           KM 01;AURORA;65060-540;DIESEL;07/01/2009;2;;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
NE;MA;SAO LUIS;MERCADINHO CARONE LTDA.; 35.120.369/0009-70;AVENIDA SAO LUIS REI DE FRANCA;1;AREA E1-B LOTEAMENTO OLHO DAGUA;OLHO DAGUA;65066-300;GASOLINA;07/01/2009;2,62;2,2131;R$ / litro;BRANCA
NE;MA;SAO LUIS;MERCADINHO CARONE LTDA.; 35.120.369/0009-70;AVENIDA SAO LUIS REI DE FRANCA;1;AREA E1-B LOTEAMENTO OLHO DAGUA;OLHO DAGUA;65066-300;ETANOL;07/01/2009;1,649;1,4632;R$ / litro;BRANCA
NE;MA;SAO LUIS;MERCADINHO CARONE LTDA.; 35.120.369/0009-70;AVENIDA SAO LUIS REI DE FRANCA;1;AREA E1-B LOTEAMENTO OLHO DAGUA;OLHO DAGUA;65066-300;DIESEL;07/01/2009;2,07;1,9433;R$ / litro;BRANCA
NE;MA;SAO LUIS;POSTO ELDORADO LTDA; 07.076.190/0001-70;AVENIDA SAO LUIS REI DE FRANCA, L. JD.ELDORAD;1;LOTE 01 E 15 QDA 11;TURU;65065-470;GASOLINA;07/01/2009;2,699;2,2359;R$ / litro;CBPI
NE;MA;SAO LUIS;POSTO ELDORADO LTDA; 07.076.190/0001-70;AVENIDA SAO LUIS REI DE FRANCA, L. JD.ELDORAD;1;LOTE 01 E 15 QDA 11;TURU;65065-470;ETANOL;07/01/2009;1,699;1,4531;R$ / litro;CBPI
NE;MA;SAO LUIS;POSTO ELDORADO LTDA; 07.076.190/0001-70;AVENIDA SAO LUIS REI DE FRANCA, L. JD.ELDORAD;1;LOTE 01 E 15 QDA 11;TURU;65065-470;DIESEL;07/01/2009;2,075;1,955;R$ / litro;CBPI
NE;MA;SAO LUIS;CADILHE BRANDÃO & CIA LTDA.; 00.937.192/0002-48;AVENIDA GUAXENDUBA/CAJAZEIRAS;105;AV. KENNEDY 105;CENTRO;65015-560;GASOLINA;07/01/2009;2,6;2,2176;R$ / litro;BRANCA
NE;MA;SAO LUIS;CADILHE BRANDÃO & CIA LTDA.; 00.937.192/0002-48;AVENIDA GUAXENDUBA/CAJAZEIRAS;105;AV. KENNEDY 105;CENTRO;65015-560;ETANOL;07/01/2009;1,58;1,417;R$ / litro;BRANCA
NE;MA;SAO LUIS;CADILHE BRANDÃO & CIA LTDA.; 00.937.192/0002-48;AVENIDA GUAXENDUBA/CAJAZEIRAS;105;AV. KENNEDY 105;CENTRO;65015-560;DIESEL;07/01/2009;1,99;1,9249;R$ / litro;BRANCA
NE;MA;SAO LUIS;PORTOS EMPREENDIMENTOS LTDA; 73.787.483/0002-70;AVENIDA CAMBOA I;212;A;CAMBOA;65020-260;GASOLINA;06/01/2009;2,6;2,1799;R$ / litro;BRANCA
NE;MA;SAO LUIS;PORTOS EMPREENDIMENTOS LTDA; 73.787.483/0002-70;AVENIDA CAMBOA I;212;A;CAMBOA;65020-260;ETANOL;06/01/2009;1,59;1,4;R$ / litro;BRANCA
NE;MA;SAO LUIS;PORTOS EMPREENDIMENTOS LTDA; 73.787.483/0002-70;AVENIDA CAMBOA I;212;A;CAMBOA;65020-260;DIESEL;06/01/2009;2,01;;R$ / litro;BRANCA
NE;MA;SAO LUIS;POSTO BACANGA LTDA; 69.582.757/0006-41;AVENIDA DOS FRANCESES;S/N;;TIRIRICAL;65036-284;GASOLINA;07/01/2009;2,6;;R$ / litro;BRANCA
NE;MA;SAO LUIS;POSTO BACANGA LTDA; 69.582.757/0006-41;AVENIDA DOS FRANCESES;S/N;;TIRIRICAL;65036-284;ETANOL;07/01/2009;1,57;1,3319;R$ / litro;BRANCA
NE;MA;SAO LUIS;POSTO BACANGA LTDA; 69.582.757/0006-41;AVENIDA DOS FRANCESES;S/N;;TIRIRICAL;65036-284;DIESEL;07/01/2009;1,98;1,8905;R$ / litro;BRANCA
NE;MA;SAO LUIS;J R FERREIRA EIRELI; 07.233.294/0001-40;AVENIDA DANIEL DE LA TOUCHE;2004;ILHA DE BOMBA;COHAMA;65074-115;GASOLINA;07/01/2009;2,629;2,2034;R$ / litro;IPIRANGA
NE;MA;SAO LUIS;J R FERREIRA EIRELI; 07.233.294/0001-40;AVENIDA DANIEL DE LA TOUCHE;2004;ILHA DE BOMBA;COHAMA;65074-115;ETANOL;07/01/2009;1,629;1,4031;R$ / litro;IPIRANGA
NE;MA;SAO LUIS;J R FERREIRA EIRELI; 07.233.294/0001-40;AVENIDA DANIEL DE LA TOUCHE;2004;ILHA DE BOMBA;COHAMA;65074-115;DIESEL;07/01/2009;2,01;;R$ / litro;IPIRANGA
NE;MA;SAO LUIS;MERCADINHO CARONE LTDA.; 35.120.369/0006-27;AVENIDA SÃO LUÍS REI DE FRANÇA;100;;TURÚ;65065-470;GASOLINA;07/01/2009;2,62;2,1582;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
NE;MA;SAO LUIS;MERCADINHO CARONE LTDA.; 35.120.369/0006-27;AVENIDA SÃO LUÍS REI DE FRANÇA;100;;TURÚ;65065-470;ETANOL;07/01/2009;1,67;1,381;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
NE;MA;SAO LUIS;MERCADINHO CARONE LTDA.; 35.120.369/0006-27;AVENIDA SÃO LUÍS REI DE FRANÇA;100;;TURÚ;65065-470;DIESEL;07/01/2009;2,07;1,9209;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
NE;MA;SAO LUIS;F. M. M. CORREIA DERIVADOS DE PETROLEO EIRELI; 06.038.697/0001-76;AVENIDA JERONIMO DE ALBUQUERQUE;2000;LOJA 1;COHAFUMA;65070-210;GASOLINA;07/01/2009;2,59;;R$ / litro;TDC DISTRIBUIDORA
NE;MA;SAO LUIS;F. M. M. CORREIA DERIVADOS DE PETROLEO EIRELI; 06.038.697/0001-76;AVENIDA JERONIMO DE ALBUQUERQUE;2000;LOJA 1;COHAFUMA;65070-210;ETANOL;07/01/2009;1,58;;R$ / litro;TDC DISTRIBUIDORA
NE;MA;SAO LUIS;F. M. M. CORREIA DERIVADOS DE PETROLEO EIRELI; 06.038.697/0001-76;AVENIDA JERONIMO DE ALBUQUERQUE;2000;LOJA 1;COHAFUMA;65070-210;DIESEL;07/01/2009;2;;R$ / litro;TDC DISTRIBUIDORA
NE;MA;SAO LUIS;L. A. A. STEFANELLO; 41.476.193/0001-39;AVENIDA LOURENÇO VIEIRA DA SILVA;1003;;SÃO CRISTÓVÃO;65055-310;GASOLINA;06/01/2009;2,59;2,17;R$ / litro;BRANCA
NE;MA;SAO LUIS;L. A. A. STEFANELLO; 41.476.193/0001-39;AVENIDA LOURENÇO VIEIRA DA SILVA;1003;;SÃO CRISTÓVÃO;65055-310;ETANOL;06/01/2009;1,58;1,384;R$ / litro;BRANCA
NE;MA;SAO LUIS;L. A. A. STEFANELLO; 41.476.193/0001-39;AVENIDA LOURENÇO VIEIRA DA SILVA;1003;;SÃO CRISTÓVÃO;65055-310;DIESEL;06/01/2009;1,99;1,9149;R$ / litro;BRANCA
NE;MA;SAO LUIS;C. G. DE SOUSA EIRELI; 69.425.734/0003-80;TRAVESSA GASOMETRO;86;;CENTRO;65015-010;GASOLINA;07/01/2009;2,64;2,234;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
NE;MA;SAO LUIS;C. G. DE SOUSA EIRELI; 69.425.734/0003-80;TRAVESSA GASOMETRO;86;;CENTRO;65015-010;ETANOL;07/01/2009;1,58;1,4388;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
NE;MA;SAO LUIS;C. G. DE SOUSA EIRELI; 69.425.734/0003-80;TRAVESSA GASOMETRO;86;;CENTRO;65015-010;DIESEL;07/01/2009;2,12;1,9055;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
NE;MA;SAO LUIS;NICOLAU DERIVADOS DE PETROLEO LTDA; 35.196.823/0004-61;AVENIDA DA SAUDADE;1;SAO RAIMUNDO;VILA CASCAVEL;65058-200;GASOLINA;07/01/2009;2,59;;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
NE;MA;SAO LUIS;NICOLAU DERIVADOS DE PETROLEO LTDA; 35.196.823/0004-61;AVENIDA DA SAUDADE;1;SAO RAIMUNDO;VILA CASCAVEL;65058-200;ETANOL;07/01/2009;1,58;;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
NE;MA;SAO LUIS;ESTRELA TRANSPORTES LTDA.; 02.564.291/0005-08;AVENIDA PRINCIPAL;2;ACESSO AO COHATRAC;PARQUE AURORA;65053-770;GASOLINA;07/01/2009;2,58;2,1737;R$ / litro;BRANCA
NE;MA;SAO LUIS;ESTRELA TRANSPORTES LTDA.; 02.564.291/0005-08;AVENIDA PRINCIPAL;2;ACESSO AO COHATRAC;PARQUE AURORA;65053-770;ETANOL;07/01/2009;1,67;1,3289;R$ / litro;BRANCA
NE;MA;SAO LUIS;ESTRELA TRANSPORTES LTDA.; 02.564.291/0005-08;AVENIDA PRINCIPAL;2;ACESSO AO COHATRAC;PARQUE AURORA;65053-770;DIESEL;07/01/2009;2,08;1,8937;R$ / litro;BRANCA
NE;MA;SAO LUIS;M. A. LIBERIO & COMPANHIA LTDA; 01.250.105/0002-42;AVENIDA DOS HOLANDESES;14;QD. 31 LT. 14;CALHAU;65071-380;GASOLINA;06/01/2009;2,638;2,2134;R$ / litro;TDC DISTRIBUIDORA
NE;MA;SAO LUIS;M. A. LIBERIO & COMPANHIA LTDA; 01.250.105/0002-42;AVENIDA DOS HOLANDESES;14;QD. 31 LT. 14;CALHAU;65071-380;ETANOL;06/01/2009;1,689;;R$ / litro;TDC DISTRIBUIDORA
NE;MA;SAO LUIS;M. A. LIBERIO & COMPANHIA LTDA; 01.250.105/0002-42;AVENIDA DOS HOLANDESES;14;QD. 31 LT. 14;CALHAU;65071-380;DIESEL;06/01/2009;2,14;1,8905;R$ / litro;TDC DISTRIBUIDORA
NE;MA;SAO LUIS;POSTO AMERICANO LTDA; 23.706.245/0005-68;AVENIDA DOS HOLANDESES;202;;OLHO D¿ÁGUA;65065-180;GASOLINA;07/01/2009;2,62;;R$ / litro;SATELITE
NE;MA;SAO LUIS;POSTO AMERICANO LTDA; 23.706.245/0005-68;AVENIDA DOS HOLANDESES;202;;OLHO D¿ÁGUA;65065-180;ETANOL;07/01/2009;1,699;;R$ / litro;SATELITE
NE;MA;SAO LUIS;POSTO AMERICANO LTDA; 23.706.245/0005-68;AVENIDA DOS HOLANDESES;202;;OLHO D¿ÁGUA;65065-180;DIESEL;07/01/2009;2,139;;R$ / litro;SATELITE
NE;MA;SAO LUIS;POSTO AMERICANO LTDA; 23.706.245/0002-15;AVENIDA PRESIDENTE  MEDICI;10;;AREINHA;65031-410;GASOLINA;07/01/2009;2,6;2,1746;R$ / litro;BRANCA
NE;MA;SAO LUIS;POSTO AMERICANO LTDA; 23.706.245/0002-15;AVENIDA PRESIDENTE  MEDICI;10;;AREINHA;65031-410;ETANOL;07/01/2009;1,57;1,3252;R$ / litro;BRANCA
NE;MA;SAO LUIS;POSTO AMERICANO LTDA; 23.706.245/0002-15;AVENIDA PRESIDENTE  MEDICI;10;;AREINHA;65031-410;DIESEL;07/01/2009;1,99;1,8983;R$ / litro;BRANCA
NE;MA;SAO LUIS;POSTO AMERICANO LTDA; 23.706.245/0004-87;AVENIDA DOS FRANCESES;12;;COHEB DO SACAVEM;65099-110;GASOLINA;06/01/2009;2,6;2,1826;R$ / litro;IPIRANGA
NE;MA;SAO LUIS;POSTO AMERICANO LTDA; 23.706.245/0004-87;AVENIDA DOS FRANCESES;12;;COHEB DO SACAVEM;65099-110;ETANOL;06/01/2009;1,62;1,3496;R$ / litro;IPIRANGA
NE;MA;SAO LUIS;POSTO AMERICANO LTDA; 23.706.245/0004-87;AVENIDA DOS FRANCESES;12;;COHEB DO SACAVEM;65099-110;DIESEL;06/01/2009;1,999;1,8924;R$ / litro;IPIRANGA
NE;MA;SAO LUIS;POSTO BACANGA LTDA; 69.582.757/0001-37;AVENIDA SENADOR VITORINO FREIRE;1990;;AREINHA;65050-330;GASOLINA;05/01/2009;2,6;2,1863;R$ / litro;BRANCA
NE;MA;SAO LUIS;POSTO BACANGA LTDA; 69.582.757/0001-37;AVENIDA SENADOR VITORINO FREIRE;1990;;AREINHA;65050-330;ETANOL;05/01/2009;1,58;1,396;R$ / litro;BRANCA
NE;MA;SAO LUIS;POSTO BACANGA LTDA; 69.582.757/0001-37;AVENIDA SENADOR VITORINO FREIRE;1990;;AREINHA;65050-330;DIESEL;05/01/2009;1,99;;R$ / litro;BRANCA
NE;MA;SAO LUIS;POSTO BACANGA LTDA; 69.582.757/0004-80;AVENIDA DOS PORTUGUESES;2000;;VILA ISABEL;65080-190;GASOLINA;07/01/2009;2,6;2,1987;R$ / litro;BRANCA
NE;MA;SAO LUIS;POSTO BACANGA LTDA; 69.582.757/0004-80;AVENIDA DOS PORTUGUESES;2000;;VILA ISABEL;65080-190;ETANOL;07/01/2009;1,58;1,384;R$ / litro;BRANCA
NE;MA;SAO LUIS;POSTO BACANGA LTDA; 69.582.757/0004-80;AVENIDA DOS PORTUGUESES;2000;;VILA ISABEL;65080-190;DIESEL;07/01/2009;1,99;1,8905;R$ / litro;BRANCA
NE;MA;SAO LUIS;C. G. DE SOUSA EIRELI; 69.425.734/0002-08;AVENIDA GUAJAJARA;205;;SAO CRISTOVAO;65099-110;GASOLINA;07/01/2009;2,629;2,234;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
NE;MA;SAO LUIS;C. G. DE SOUSA EIRELI; 69.425.734/0002-08;AVENIDA GUAJAJARA;205;;SAO CRISTOVAO;65099-110;ETANOL;07/01/2009;1,79;1,4388;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
NE;MA;SAO LUIS;C. G. DE SOUSA EIRELI; 69.425.734/0002-08;AVENIDA GUAJAJARA;205;;SAO CRISTOVAO;65099-110;DIESEL;07/01/2009;2,09;1,9055;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
NE;MA;SAO LUIS;LIMA COMERCIAL DE COMBUSTIVEIS LTDA; 69.418.101/0001-83;AVENIDA JERONIMO DE ALBUQUERQUE  MARANHAO;5;;COHAB ANIL I;65051-210;GASOLINA;07/01/2009;2,6;2,2515;R$ / litro;RAIZEN
NE;MA;SAO LUIS;LIMA COMERCIAL DE COMBUSTIVEIS LTDA; 69.418.101/0001-83;AVENIDA JERONIMO DE ALBUQUERQUE  MARANHAO;5;;COHAB ANIL I;65051-210;ETANOL;07/01/2009;1,799;1,4309;R$ / litro;RAIZEN
NE;MA;SAO LUIS;LIMA COMERCIAL DE COMBUSTIVEIS LTDA; 69.418.101/0001-83;AVENIDA JERONIMO DE ALBUQUERQUE  MARANHAO;5;;COHAB ANIL I;65051-210;DIESEL;07/01/2009;2,129;1,9403;R$ / litro;RAIZEN
NE;MA;SAO LUIS;NICOLAU DERIVADOS DE PETROLEO LTDA; 35.196.823/0003-80;AVENIDA COLARES MOREIRA;1;"QUADRA: 01 - POSTO LAGOA;";JARDIM RENASCENCA;65075-441;GASOLINA;06/01/2009;2,709;;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
NE;MA;SAO LUIS;NICOLAU DERIVADOS DE PETROLEO LTDA; 35.196.823/0003-80;AVENIDA COLARES MOREIRA;1;"QUADRA: 01 - POSTO LAGOA;";JARDIM RENASCENCA;65075-441;ETANOL;06/01/2009;1,899;;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
NE;MA;SAO LUIS;NICOLAU DERIVADOS DE PETROLEO LTDA; 35.196.823/0003-80;AVENIDA COLARES MOREIRA;1;"QUADRA: 01 - POSTO LAGOA;";JARDIM RENASCENCA;65075-441;DIESEL;06/01/2009;2,199;;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
NE;MA;SAO LUIS;SUPER GAMES COMERCIAL LTDA; 10.352.227/0003-11;AVENIDA PROFESSOR CARLOS CUNHA 1000;0;QUADRA04                  LOTE  001;JARACATY;65076-907;GASOLINA;06/01/2009;2,649;2,2133;R$ / litro;RAIZEN
NE;MA;SAO LUIS;SUPER GAMES COMERCIAL LTDA; 10.352.227/0003-11;AVENIDA PROFESSOR CARLOS CUNHA 1000;0;QUADRA04                  LOTE  001;JARACATY;65076-907;ETANOL;06/01/2009;1,649;1,444;R$ / litro;RAIZEN
NE;MA;SAO LUIS;SUPER GAMES COMERCIAL LTDA; 10.352.227/0003-11;AVENIDA PROFESSOR CARLOS CUNHA 1000;0;QUADRA04                  LOTE  001;JARACATY;65076-907;DIESEL;06/01/2009;2,129;;R$ / litro;RAIZEN
