Regiao - Sigla;Estado - Sigla;Municipio;Revenda;CNPJ da Revenda;Nome da Rua;Numero Rua;Complemento;Bairro;Cep;Produto;Data da Coleta;Valor de Venda;Valor de Compra;Unidade de Medida;Bandeira
N;AC;RIO BRANCO;COMDEPE COMERCIO DE DERIVADOS DE PETROLEO LTDA; 01.198.443/0001-00;AVENIDA NACOES UNIDAS;23;;AVIARIO;69909-720;DIESEL;07/01/2009;2,44;;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
N;AC;RIO BRANCO;RODRIGUES COMERCIO DE COMBUSTIVEIS LTDA; 84.309.376/0001-72;AV CEARA;1867;;CENTRO;69900-303;GASOLINA;07/01/2009;2,92;2,498;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
N;AC;RIO BRANCO;RODRIGUES COMERCIO DE COMBUSTIVEIS LTDA; 84.309.376/0001-72;AV CEARA;1867;;CENTRO;69900-303;ETANOL;07/01/2009;2,1;;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
N;AC;RIO BRANCO;RODRIGUES COMERCIO DE COMBUSTIVEIS LTDA; 84.309.376/0001-72;AV CEARA;1867;;CENTRO;69900-303;DIESEL;07/01/2009;2,44;;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
N;AC;RIO BRANCO;ALDEMIR SOUZA ROCHA - ME.; 10.172.914/0001-93;AVENIDA CEARÁ;2767;;ABRAHÃO ALAB;69907-000;GASOLINA;07/01/2009;2,89;2,3573;R$ / litro;EQUADOR
N;AC;RIO BRANCO;ALDEMIR SOUZA ROCHA - ME.; 10.172.914/0001-93;AVENIDA CEARÁ;2767;;ABRAHÃO ALAB;69907-000;ETANOL;07/01/2009;2;;R$ / litro;EQUADOR
N;AC;RIO BRANCO;ALDEMIR SOUZA ROCHA - ME.; 10.172.914/0001-93;AVENIDA CEARÁ;2767;;ABRAHÃO ALAB;69907-000;DIESEL;07/01/2009;2,38;2,0595;R$ / litro;EQUADOR
N;AC;RIO BRANCO;M.N. MATOZO; 07.148.938/0001-00;RUA JUAREZ TAVORA;1489;;PLACAS;69918-340;GASOLINA;06/01/2009;2,92;2,4797;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
N;AC;RIO BRANCO;M.N. MATOZO; 07.148.938/0001-00;RUA JUAREZ TAVORA;1489;;PLACAS;69918-340;ETANOL;06/01/2009;2,1;1,8531;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
N;AC;RIO BRANCO;M.N. MATOZO; 07.148.938/0001-00;RUA JUAREZ TAVORA;1489;;PLACAS;69918-340;DIESEL;06/01/2009;2,45;2,1841;R$ / litro;PETROBRAS DISTRIBUIDORA S.A.
N;AC;RIO BRANCO;AUTO POSTO AMAPA - EIRELI; 00.529.581/0001-53;VIA CHICO MENDES;3570;;AREAL;69906-119;GASOLINA;07/01/2009;2,93;2,3657;R$ / litro;CBPI
N;AC;RIO BRANCO;AUTO POSTO AMAPA - EIRELI; 00.529.581/0001-53;VIA CHICO MENDES;3570;;AREAL;69906-119;ETANOL;07/01/2009;2,09;1,7624;R$ / litro;CBPI
N;AC;RIO BRANCO;AUTO POSTO AMAPA - EIRELI; 00.529.581/0001-53;VIA CHICO MENDES;3570;;AREAL;69906-119;DIESEL;07/01/2009;2,43;2,1159;R$ / litro;CBPI
N;AC;RIO BRANCO;F. S.C. MAGALHÃES - ME.; 34.717.256/0001-36;RODOVIA BR 364 - RUA 3 - ZONA A SETOR 14 L/1A;S/N;;DISTRITO INDUSTRIA;69917-100;GASOLINA;05/01/2009;2,92;;R$ / litro;BRANCA
